idx,color,sub_category,season,goods_name,thumbnail_url,is_soldout,goods_url,brand,normal_price,price,created_at,updated_at,image_id,s3_path
1,화이트,캔버스/단화,"봄, 여름, 가을, 겨울",단테 - 화이트 / 22127100,https://image.msscdn.net/images/goods_img/20190809/1115031/1115031_3_500.jpg,0,https://www.musinsa.com/products/1115031,닥터마틴,170000,101990,2025-04-21 17:57:13,2025-04-21 17:57:13,1115031,https://kr.object.iwinv.kr/web-assets-prod/shoes/1115031.jpg
2,화이트,캔버스/단화,"봄, 여름, 가을, 겨울",Steve Shoes / WHPGE1101A,https://image.msscdn.net/images/goods_img/20240117/3802627/3802627_17058809393682_500.jpg,0,https://www.musinsa.com/products/3802627,후아유,29900,14950,2025-04-21 17:57:13,2025-04-21 17:57:13,3802627,https://kr.object.iwinv.kr/web-assets-prod/shoes/3802627.jpg
3,화이트,캔버스/단화,"봄, 여름, 가을, 겨울",토너먼트 레더 스니커즈(1TM01734F109),https://image.msscdn.net/images/goods_img/20211115/2233099/2233099_16837829341222_500.jpg,0,https://www.musinsa.com/products/2233099,케즈,79000,55300,2025-04-21 17:57:13,2025-04-21 17:57:13,2233099,https://kr.object.iwinv.kr/web-assets-prod/shoes/2233099.jpg
4,화이트,캔버스/단화,"봄, 여름, 가을, 겨울",2402 뮬 FUR white 화이트,https://image.msscdn.net/images/goods_img/20190705/1090658/1090658_3_500.jpg,0,https://www.musinsa.com/products/1090658,수페르가,85000,17000,2025-04-21 17:57:13,2025-04-21 17:57:13,1090658,https://kr.object.iwinv.kr/web-assets-prod/shoes/1090658.jpg
5,화이트,캔버스/단화,"봄, 여름, 가을, 겨울",레더 코트 스니커즈 [화이트],https://image.msscdn.net/images/goods_img/20201006/1635193/1635193_17137793603764_500.jpg,0,https://www.musinsa.com/products/1635193,무신사 스탠다드,69900,55890,2025-04-21 17:57:13,2025-04-21 17:57:13,1635193,https://kr.object.iwinv.kr/web-assets-prod/shoes/1635193.jpg
6,화이트,캔버스/단화,"봄, 여름, 가을, 겨울",ORIGINAL GROUND SNEAKERS 001 WHITE,https://image.msscdn.net/images/goods_img/20220720/2673312/2673312_1_500.jpg,0,https://www.musinsa.com/products/2673312,오디너리원,82000,41000,2025-04-21 17:57:13,2025-04-21 17:57:13,2673312,https://kr.object.iwinv.kr/web-assets-prod/shoes/2673312.jpg
7,화이트,캔버스/단화,"봄, 여름, 가을, 겨울",2750 코투 클래식 white 화이트,https://image.msscdn.net/images/goods_img/20190404/1004694/1004694_3_500.jpg,0,https://www.musinsa.com/products/1004694,수페르가,55000,11000,2025-04-21 17:57:13,2025-04-21 17:57:13,1004694,https://kr.object.iwinv.kr/web-assets-prod/shoes/1004694.jpg
8,화이트,캔버스/단화,"봄, 여름, 가을, 겨울",크루킥75 캔버스(1XM01541F100),https://image.msscdn.net/images/goods_img/20230207/3063781/3063781_16838553927515_500.jpg,0,https://www.musinsa.com/products/3063781,케즈,59000,41300,2025-04-21 17:57:13,2025-04-21 17:57:13,3063781,https://kr.object.iwinv.kr/web-assets-prod/shoes/3063781.jpg
9,화이트,캔버스/단화,"봄, 여름, 가을, 겨울",쇼크 리 제너레이트 화이트 컨버스 스니커즈 79127-180-M,https://image.msscdn.net/images/goods_img/20240516/4133160/4133160_17169422778325_500.jpg,0,https://www.musinsa.com/products/4133160,팔라디움,149000,149000,2025-04-21 17:57:13,2025-04-21 17:57:13,4133160,https://kr.object.iwinv.kr/web-assets-prod/shoes/4133160.jpg
10,화이트,캔버스/단화,"봄, 여름, 가을, 겨울",2402 뮬 white 화이트,https://image.msscdn.net/images/goods_img/20190705/1090654/1090654_3_500.jpg,0,https://www.musinsa.com/products/1090654,수페르가,59000,14700,2025-04-21 17:57:13,2025-04-21 17:57:13,1090654,https://kr.object.iwinv.kr/web-assets-prod/shoes/1090654.jpg
11,화이트,캔버스/단화,"봄, 여름, 가을, 겨울",2837 NYLU white 화이트,https://image.msscdn.net/images/goods_img/20191029/1205139/1205139_3_500.jpg,0,https://www.musinsa.com/products/1205139,수페르가,79000,31600,2025-04-21 17:57:13,2025-04-21 17:57:13,1205139,https://kr.object.iwinv.kr/web-assets-prod/shoes/1205139.jpg
12,화이트,캔버스/단화,"봄, 여름, 가을, 겨울",어센틱 - (발레리나) 클래식 화이트 / VN0A2Z3Z2VZ1,https://image.msscdn.net/images/goods_img/20240521/4145409/4145409_17182616173543_500.jpg,0,https://www.musinsa.com/products/4145409,반스,69000,34990,2025-04-21 17:57:13,2025-04-21 17:57:13,4145409,https://kr.object.iwinv.kr/web-assets-prod/shoes/4145409.jpg
13,화이트,캔버스/단화,"봄, 여름, 가을, 겨울",독일군 스니커즈 [올 화이트],https://image.msscdn.net/images/goods_img/20201016/1652109/1652109_17137792263949_500.jpg,0,https://www.musinsa.com/products/1652109,무신사 스탠다드,79900,59890,2025-04-21 17:57:13,2025-04-21 17:57:13,1652109,https://kr.object.iwinv.kr/web-assets-prod/shoes/1652109.jpg
